Module	Section	Sample Name	Source
FastQC	all_sections	Pig-1-PBMC-1_S51_L007_R1_001	/project/fsepru/PIGscRNAseq/Pig-1-PBMC/P1PBMC/Pig-1-PBMC-1_S51_L007_R1_001_fastqc.zip
FastQC	all_sections	Pig-1-PBMC-4_S54_L005_R1_001	/project/fsepru/PIGscRNAseq/Pig-1-PBMC/P1PBMC/Pig-1-PBMC-4_S54_L005_R1_001_fastqc.zip
FastQC	all_sections	Pig-1-PBMC-2_S52_L007_R1_001	/project/fsepru/PIGscRNAseq/Pig-1-PBMC/P1PBMC/Pig-1-PBMC-2_S52_L007_R1_001_fastqc.zip
FastQC	all_sections	Pig-1-PBMC-3_S44_L003_R1_001	/project/fsepru/PIGscRNAseq/Pig-1-PBMC/P1PBMC/Pig-1-PBMC-3_S44_L003_R1_001_fastqc.zip
FastQC	all_sections	Pig-1-PBMC-1_S51_L006_R1_001	/project/fsepru/PIGscRNAseq/Pig-1-PBMC/P1PBMC/Pig-1-PBMC-1_S51_L006_R1_001_fastqc.zip
FastQC	all_sections	Pig-1-PBMC-4_S54_L006_R2_001	/project/fsepru/PIGscRNAseq/Pig-1-PBMC/P1PBMC/Pig-1-PBMC-4_S54_L006_R2_001_fastqc.zip
FastQC	all_sections	Pig-1-PBMC-1_S51_L007_R2_001	/project/fsepru/PIGscRNAseq/Pig-1-PBMC/P1PBMC/Pig-1-PBMC-1_S51_L007_R2_001_fastqc.zip
FastQC	all_sections	Pig-1-PBMC-4_S54_L008_R1_001	/project/fsepru/PIGscRNAseq/Pig-1-PBMC/P1PBMC/Pig-1-PBMC-4_S54_L008_R1_001_fastqc.zip
FastQC	all_sections	Pig-1-PBMC-3_S53_L008_R1_001	/project/fsepru/PIGscRNAseq/Pig-1-PBMC/P1PBMC/Pig-1-PBMC-3_S53_L008_R1_001_fastqc.zip
FastQC	all_sections	Pig-1-PBMC-2_S52_L008_R1_001	/project/fsepru/PIGscRNAseq/Pig-1-PBMC/P1PBMC/Pig-1-PBMC-2_S52_L008_R1_001_fastqc.zip
