Sample	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-avg_sequence_length	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-total_sequences	FastQC_mqc-generalstats-percent_gc
Pig-1-PBMC-1_S42_L003_R1_001	16.6666666667	28.0	14.4031963229	10774353.0	44.0
Pig-1-PBMC-1_S42_L003_R2_001	33.3333333333	100.0	54.2645227395	10774353.0	47.0
Pig-1-PBMC-1_S51_L005_R1_001	16.6666666667	26.0	19.5321177889	6308453.0	48.0
Pig-1-PBMC-1_S51_L005_R2_001	50.0	100.0	50.7863844505	6308453.0	47.0
Pig-1-PBMC-1_S51_L006_R1_001	8.33333333333	26.0	20.8438672109	9876813.0	48.0
Pig-1-PBMC-1_S51_L006_R2_001	41.6666666667	100.0	55.6539558224	9876813.0	47.0
Pig-1-PBMC-1_S51_L007_R1_001	8.33333333333	26.0	20.9760937028	9060063.0	48.0
Pig-1-PBMC-1_S51_L007_R2_001	50.0	100.0	52.5081137974	9060063.0	46.0
Pig-1-PBMC-1_S51_L008_R1_001	8.33333333333	26.0	20.5271382288	8286225.0	48.0
Pig-1-PBMC-1_S51_L008_R2_001	41.6666666667	100.0	53.630849162	8286225.0	47.0
Pig-1-PBMC-2_S43_L003_R1_001	16.6666666667	28.0	14.268955133	9840668.0	44.0
Pig-1-PBMC-2_S43_L003_R2_001	33.3333333333	100.0	54.636219432	9840668.0	47.0
Pig-1-PBMC-2_S52_L005_R1_001	16.6666666667	26.0	19.4034088866	5461361.0	48.0
Pig-1-PBMC-2_S52_L005_R2_001	41.6666666667	100.0	51.8566179226	5461361.0	47.0
Pig-1-PBMC-2_S52_L006_R1_001	8.33333333333	26.0	20.9315543839	8712903.0	48.0
Pig-1-PBMC-2_S52_L006_R2_001	41.6666666667	100.0	56.3636073874	8712903.0	47.0
Pig-1-PBMC-2_S52_L007_R1_001	8.33333333333	26.0	20.6377799401	7835824.0	48.0
Pig-1-PBMC-2_S52_L007_R2_001	41.6666666667	100.0	53.5160723957	7835824.0	46.0
Pig-1-PBMC-2_S52_L008_R1_001	8.33333333333	26.0	20.4415659319	7089478.0	48.0
Pig-1-PBMC-2_S52_L008_R2_001	41.6666666667	100.0	54.4178204103	7089478.0	47.0
Pig-1-PBMC-3_S44_L003_R1_001	16.6666666667	28.0	15.7330004871	11859408.0	44.0
Pig-1-PBMC-3_S44_L003_R2_001	41.6666666667	100.0	53.853422151	11859408.0	47.0
Pig-1-PBMC-3_S53_L005_R1_001	16.6666666667	26.0	21.2041786402	6760199.0	48.0
Pig-1-PBMC-3_S53_L005_R2_001	50.0	100.0	51.4700317903	6760199.0	47.0
Pig-1-PBMC-3_S53_L006_R1_001	8.33333333333	26.0	22.1996081698	10497171.0	48.0
Pig-1-PBMC-3_S53_L006_R2_001	41.6666666667	100.0	54.1386222244	10497171.0	47.0
Pig-1-PBMC-3_S53_L007_R1_001	8.33333333333	26.0	22.2887987803	9561266.0	48.0
Pig-1-PBMC-3_S53_L007_R2_001	50.0	100.0	51.9626917741	9561266.0	47.0
Pig-1-PBMC-3_S53_L008_R1_001	8.33333333333	26.0	21.8317826766	8951371.0	48.0
Pig-1-PBMC-3_S53_L008_R2_001	41.6666666667	100.0	54.1265613524	8951371.0	47.0
Pig-1-PBMC-4_S45_L003_R1_001	16.6666666667	28.0	13.290554226	8143888.0	44.0
Pig-1-PBMC-4_S45_L003_R2_001	33.3333333333	100.0	54.1631880495	8143888.0	48.0
Pig-1-PBMC-4_S54_L005_R1_001	16.6666666667	26.0	18.8327799038	4704685.0	48.0
Pig-1-PBMC-4_S54_L005_R2_001	41.6666666667	100.0	51.3023131939	4704685.0	47.0
Pig-1-PBMC-4_S54_L006_R1_001	8.33333333333	26.0	19.9278238892	7349181.0	48.0
Pig-1-PBMC-4_S54_L006_R2_001	41.6666666667	100.0	56.1077866811	7349181.0	48.0
Pig-1-PBMC-4_S54_L007_R1_001	8.33333333333	26.0	20.0489944873	6686142.0	48.0
Pig-1-PBMC-4_S54_L007_R2_001	41.6666666667	100.0	53.3974331694	6686142.0	47.0
Pig-1-PBMC-4_S54_L008_R1_001	8.33333333333	26.0	20.4338869771	6115360.0	48.0
Pig-1-PBMC-4_S54_L008_R2_001	41.6666666667	100.0	54.8186228314	6115360.0	47.0
